airport,STAND_mvt,RUNWAY_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LEMD,562,36L,150,872.3333333333334,883.8839610506119,-11.550627717278417,-26.465746799082126,143.39116617804783,109.28545367633133,143.37841548960924,283.81930590694753,3083605.504246652,0.00013828126367472417
LEMD,T28,36R,120,1107.2083333333333,1113.2140312667252,-6.005697933391783,-9.54600243294442,160.85866712715125,124.73973899101512,160.29956313417733,315.42764356013356,3083513.992920972,0.000138277159939101
EHAM,C13,24,129,565.6124031007752,561.201478863421,4.410924237354188,4.945872336517709,155.14048218395837,107.86866078604726,154.6009295217519,338.46285125312914,3083286.7157596713,0.00013826696791777212
EDDM,224,26L,117,746.6239316239316,743.6979455975778,2.925986026353785,0.15812115846642882,163.00259788852284,117.28684505597634,162.3308830873828,293.5873792373571,3083103.925659757,0.00013825877087506722
LEMD,370,36R,115,943.8782608695652,922.629270497153,21.248990372412223,-15.69814354748246,162.83697018364114,112.63874709537403,163.5139920336942,282.73018346031085,3074734.942941426,0.00013788347205543255
EDDM,514,26L,101,594.1386138613861,611.069182393809,-16.93056853242282,-18.742486040586073,173.73520157779944,136.5745929363532,173.70006828551922,337.8925905614765,3047343.085961798,0.0001366551111018917
EHAM,H04,36L,116,1006.1379310344828,997.6310413390061,8.506889695476671,-21.29924427121898,162.18763239071066,112.62686608905885,161.7109443213668,280.0271322143766,3033449.8235437507,0.00013603208137870357
LEMD,T34,36L,113,1042.345132743363,1037.4593809871762,4.885751756186715,-19.714146158449694,164.4961095137483,123.025514912964,163.83949677497822,318.06455314218977,3033302.019493025,0.00013602545325105156
LEMD,T33,36L,119,1010.0336134453781,1017.8092920627741,-7.77567861739572,-28.49393452689435,159.4997574859353,121.12613570485631,159.01839784341954,321.46175708728117,3009135.2514698785,0.00013494171824779893
LEMD,T30,36R,120,1116.6083333333333,1111.5940408496356,5.014292483697814,-13.84813696260187,158.78234184554265,113.14930469263615,158.19885148250563,294.17287728745464,3003225.193246065,0.00013467668748479936
EHAM,D22,24,165,618.290909090909,648.4892859074193,-30.198376816510372,-30.69086320512872,131.87700299940718,99.20270543756075,134.90026903595157,271.47103683991827,3002683.626685399,0.0001346524014636888
LSZH,D08,28,108,693.8796296296297,719.2860093510361,-25.406379721406672,-45.12945415808588,165.4367449949704,123.73870243204591,166.6174694531809,284.0971037308821,2998229.1617140197,0.00013445264535208863
EHAM,C07,18L,141,760.5673758865248,742.4691443612675,18.098231525257386,18.01999331884599,145.08220026587878,105.26766193342048,145.69525809323818,289.3195124399423,2993022.260550595,0.0001342191469776318
EHAM,D43,36L,109,1181.9449541284403,1191.8265906387392,-9.88163651029893,-23.498728893643374,165.72273055603733,130.46998452184286,165.25648745337926,356.790745666426,2976758.02435175,0.00013348979326128151
EHAM,B16,18L,159,725.2138364779875,707.7482184577599,17.465618020227467,10.458132523386325,136.02281929567746,100.62583888197157,136.71462649581554,301.2629143194297,2971851.366564566,0.00013326975900647918
EDDM,220,26R,140,807.4428571428572,770.1999533043482,37.24290383850877,14.966887142080623,141.34840402685003,102.25190329407853,145.68354544049402,257.9699355264826,2971317.357695748,0.00013324581190264507
LEMD,T27,36L,117,952.3931623931624,962.4243417185475,-10.031179325385088,-11.579719178092546,159.48959027499512,115.61885179475854,159.12304770742793,322.9102609493724,2962456.884468945,0.00013284847267333347
EDDF,A16,25C,119,771.1176470588235,783.1733659707385,-12.05571891191479,-26.630495704650343,157.9061635870674,113.73830188277255,157.7027724858253,305.7603651396179,2959549.5695162015,0.00013271809698649152
EDDF,A28,25C,101,793.6633663366337,804.2338702534046,-10.570503916770832,-25.632288453169735,171.15404231062087,130.34264518768643,170.63236814062577,339.4218043799235,2940655.9107850823,0.00013187082939626957
LEMD,329,36R,114,803.2982456140351,792.0721782074852,11.226067406550053,11.703559210976096,160.220925912001,114.51411603981809,159.91118695999057,349.57200727820594,2915160.9995046486,0.00013072753511161542
LSZH,I04,28,145,495.97241379310344,509.3152025325497,-13.342788739446311,-36.820716703614266,141.54738026048219,112.24119882695516,141.6880866499099,277.99969559838223,2910949.515284295,0.00013053867523341937
EDDF,V171A,18,158,390.3544303797468,386.88303370387814,3.4713966758686845,-3.5701354675072423,135.4743498120656,95.96506964721809,135.08956261953614,281.52409199990757,2883372.008740537,0.0001293019890073061
EHAM,C15,24,139,539.4388489208633,537.7080542656857,1.7307946551775506,4.356362954067492,144.24642320562245,98.49701897981085,143.73703555477007,317.7594301120927,2871786.6192201804,0.00012878245358008219
EDDF,B41,25C,128,694.7578125,700.3417649851214,-5.583952485121354,-14.947356378281029,150.25232179664494,112.89107894891565,149.76837985380914,320.8324002897429,2871112.6533164624,0.00012875223024032248
EDDF,B46,25C,106,858.7169811320755,877.0802816517249,-18.36330051964945,-40.547353852328115,164.32201161088489,132.46721449875295,164.57278348882036,303.2210985506099,2870925.3129173634,0.0001287438291439147
LSZH,I05,28,141,510.7163120567376,508.84571112983014,1.8706009269074777,-28.106033966046994,143.1435549781818,111.1732236238598,142.64731607089882,292.6340749393603,2869104.206294558,0.00012866216340400694
EHAM,K38,22,159,273.66037735849056,270.3689313955109,3.2914459629796373,-20.737632691599174,134.30607726959605,103.69350031256586,133.92351808937542,279.9921588088135,2851745.8828922072,0.00012788374642036686
LSZH,D01,28,109,626.9449541284404,637.5741590015148,-10.629204873074533,-33.47819443487657,161.93072804741172,122.37064875601331,161.53629903295158,307.16887431040595,2844243.373673683,0.00012754730375477943
LEMD,T16,36L,113,1036.6814159292035,1039.4505630454682,-2.769147116264608,-8.451686241806101,158.56879090527931,117.45739980160626,157.8898850679787,325.5350499731879,2817001.3861660864,0.00012632566355068276
EHAM,D52,24,132,580.8863636363636,577.9638213559169,2.922542280446876,0.9877554351144511,146.4173269983375,104.50813816095183,145.89093718569728,287.73604217076235,2809509.852985582,0.00012598971309475232
LFPG,B02,27L,108,938.4907407407408,948.8137026699086,-10.32296192916789,-17.87447379167014,161.261181889288,123.6092702508548,160.84447061514476,372.96944915913133,2794061.922566346,0.00012529696581025393
EHAM,H03,36L,115,985.9043478260869,996.8282717717427,-10.923923945655774,-18.36315111801207,156.09843897409158,112.02973472913494,155.801701594478,285.6119954397807,2791529.575269498,0.00012518340518007955
EHAM,C06,24,119,626.8487394957983,646.0028417836602,-19.154102287862003,-14.806441578000431,152.5819181805938,115.8257805743493,153.1420278796806,298.3754355826916,2790845.203669003,0.00012515271520705635
EHAM,G02,24,115,826.1739130434783,819.2501851248142,6.923727918664099,29.858850379323258,155.1858921140762,117.72440566062681,154.66474929694806,331.9408009908912,2750936.237635097,0.0001233630367778539
EDDM,318,26R,109,1047.0825688073394,1054.6769641766498,-7.594395369310341,-8.612955023263112,159.28673546676973,123.9534088017278,158.73615174744623,303.28456495111357,2746491.0800031223,0.00012316369804475842
LEMD,T22,36L,119,976.8571428571429,985.2028897223913,-8.345746865248445,-15.926750524883346,152.12180275119323,109.50161563128312,151.71101416135411,333.0142251158752,2738931.586326124,0.00012282469996703518
