airport,hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
EHAM,12,2720,813.8202205882353,812.4741301105149,1.3460904777202707,-0.9611372965385385,219.66513377360124,126.89485052930748,219.6288755287238,378.55848393233623,131204212.86755168,0.005883724208491138
LEBL,12,1531,994.5623775310255,980.0016185012418,14.56075902978377,-26.862086370857696,290.0338680374802,174.19207948980784,290.30452298182416,543.055310600556,129027652.29353157,0.0057861184848583365
EDDF,9,2732,939.0702781844802,937.242324891775,1.8279532927054665,-24.97219864882493,217.1940032700232,146.23267409501236,217.1619431350236,387.89745848851555,128839233.68016163,0.005777669036989356
EGLL,11,2462,1402.864337936637,1421.625965503709,-18.761627567072104,-27.94768747118883,227.7962176731134,168.0423026826936,228.52141834158627,460.20540302879976,128570659.13377339,0.0057656250749409405
LIRF,7,1408,1047.2947443181818,1084.3077033346742,-37.01295901649221,-47.77199194353864,296.50746213995484,204.92443727795987,298.70419049528994,581.5383019313912,125627664.3345806,0.005633649360388588
LFPG,22,586,1155.3105802047783,1160.1776585688492,-4.8670783640708155,-37.54603186475674,463.2228071448205,214.07144450280168,462.85298739357427,647.4347809299668,125540472.33234556,0.005629739320587846
LSZH,12,1808,907.5392699115044,864.2255104694013,43.31375944210305,18.236625097002616,259.7208709654049,185.47068311354428,263.2369720021999,482.45673780910136,125283015.79942764,0.005618193934946209
LEMD,15,2879,996.5335185828412,1005.985970659271,-9.452452076429644,-23.80187872727106,204.10451579109895,143.6999706264048,204.2878664584156,385.96586448370033,120150839.72815645,0.005388046533938134
LTFM,10,2389,990.0707408957722,1025.6280397342339,-35.55729883846172,-50.5522543647437,221.23009450673015,166.33588520809434,224.02363603925843,428.20906618873033,119895762.32565358,0.00537660783806592
EDDF,15,2078,807.6183830606352,813.2641274500833,-5.645744389448041,-35.01189290759453,238.73018011006184,127.74737685030495,238.7394959071307,331.9491208670038,118438824.47064903,0.005311272889283361
LFPG,16,1612,922.1805210918114,924.4575176461053,-2.2769965542938944,-23.060612743320405,268.50165045522544,155.3463681870074,268.42801310821136,456.77853093824046,116150400.33261001,0.005208650753865592
EHAM,10,2627,847.347164065474,837.6837202094233,9.663443856050689,4.353053104524406,209.7537186184995,134.49888751195584,209.93631597137949,409.86431008553376,115780445.51806885,0.005192060493150709
EGLL,7,2137,1211.1853065044454,1235.6563249313372,-24.471018426891593,-27.55929261355618,231.13326956684364,155.87934598050157,232.37129808143874,410.5749460311324,115390349.90767695,0.005174567038204975
LFPG,7,1848,1057.5113636363637,1052.5976509494358,4.913712686927891,-22.493367449332197,249.74093361928826,161.4556861876336,249.72170151687448,438.3592475388093,115242995.3292765,0.0051679590666984365
EDDF,20,3079,911.6187073725235,905.6449693681296,5.973738004393828,-10.921588157179144,192.53990628340614,138.62779983402683,192.60130038352946,385.46206326049656,114216308.34012434,0.005121918295898527
LTFM,15,2307,951.5361941915908,971.5399873854974,-20.00379319390666,-32.42799895853568,219.1085539592381,154.19589499479244,219.97249875522982,410.15372267750746,111630885.78128539,0.005005977557669519
EHAM,11,2680,830.6130597014925,830.6007783310203,0.012281370472245685,-0.30474631833311605,203.92173052069916,130.45639815599515,203.88368224197333,389.96163823843034,111403729.77058315,0.004995790969220395
LFPG,21,1325,1104.468679245283,1118.1907198170716,-13.722040571788488,-29.279173105027894,286.2389374323687,187.81459449048725,286.45974879160644,578.9641732640216,108728423.67301911,0.004875819491877274
EGLL,20,2254,1321.8735581188998,1338.0023413461083,-16.12878322720843,-23.62324044113865,216.91754852385694,159.98913282050916,217.4683541906184,416.7112420835971,106597261.35764408,0.004780249608615566
LEBL,10,1818,992.4873487348735,979.7860691182616,12.70127961661192,-11.408974889135493,241.13992339420062,155.52798868756594,241.4079541057316,420.01450654666235,105949040.95542629,0.004751180800613062
LEBL,11,1901,983.4350341925302,972.7477817689675,10.687252423562818,-21.95460835525205,233.57951777464092,153.8115182291161,233.76250367550543,412.3219954222702,103879970.34494194,0.00465839535894227
EHAM,9,2847,883.2202318229715,855.8942737276781,27.325958095293586,17.912699278845935,188.8300981777558,131.02637127762662,190.7642252104281,353.56949348549665,103605147.44852415,0.0046460711957667065
LFPG,19,2198,928.5090991810737,948.6234490368704,-20.1143498557966,-31.320859805416433,214.54000355566936,138.95774787810754,215.43226222520335,365.75366577146013,102011509.01721635,0.004574606043749577
LEMD,11,2500,1067.092,1068.0416785870514,-0.9496785870513275,-19.21072180566108,201.2869593412222,142.9101231824658,201.24893866615346,376.536482178622,101252838.28563301,0.004540584199083684
EDDM,10,2566,843.3698363211224,827.0627205798265,16.307115741295767,-5.307120308616106,196.88324767905354,134.2905719340259,197.51918601500566,375.35828525709076,100109484.81378204,0.0044893116343224975
LTFM,19,1579,1060.5440151994933,1089.8851170884677,-29.341101888974443,-40.78710096817633,249.06786564554494,179.06568612399428,250.71181575491167,501.92806225382225,99250278.58885802,0.004450781374087828
LEBL,15,1471,977.7518694765465,963.8350813921255,13.916788084421134,-24.576880416657445,255.0414000917174,164.99457751063352,255.3342393294063,485.42272072783106,95902689.02144593,0.004300662004081334
EGLL,21,1964,1352.4623217922606,1372.9202957890775,-20.457973996816666,-20.90231468421166,219.88485223797665,164.54011579868626,220.77875610970773,428.600780445016,95731760.96932301,0.004292996903272405
LIRF,23,89,1432.8988764044943,1304.2968477044276,128.60202870006697,-27.639151374789662,1027.7970398682949,469.5594940932567,1030.0659918490462,1280.1931295075212,94432199.3331924,0.004234719336631715
EHAM,8,3160,803.2354430379747,792.4789323850667,10.75651065290788,4.508255009039658,172.30099696057877,115.83769577053918,172.60921543848895,332.53980883190445,94148854.36355858,0.004222013009443338
LEBL,17,1605,935.5906542056075,915.4915107564301,20.099143449177305,-10.642081779107002,239.84494807641715,147.79543464221894,240.61116597197315,426.3348972494065,92919441.77057981,0.004166881207823254
LEBL,9,1815,1029.5035812672177,1030.187123817255,-0.6835425500372918,-19.69713630808087,222.5455980606488,150.58206228323897,222.48533231418944,412.8262036602033,89841997.41734388,0.004028876234921225
EHAM,20,2985,817.5417085427135,818.1978068881217,-0.656098345408249,-8.325347724868607,172.92809590378022,118.9898448190534,172.90037213714814,353.7903580338524,89235197.97521548,0.004001664909238002
LTFM,8,1405,1017.9779359430605,1018.5043815611372,-0.5264456180765447,-22.13511827682032,251.4020061362043,172.71052661894467,251.3130746995569,490.3254073654835,88737357.42849782,0.003979339738325632
LEBL,19,1716,996.6486013986014,979.1505840219254,17.498017376675925,-12.515234740075016,225.78264694997026,149.7416887973502,226.39407441683844,454.1477300056305,87952339.21369378,0.003944136366622837
LEBL,6,1869,907.1685393258427,896.0271670412392,11.141372284603587,-8.681703196833382,216.0738544268396,129.87955457254483,216.30316823335878,331.0538365695333,87445016.2385771,0.003921385965511624
EDDM,14,2363,805.972915785019,789.0504834470587,16.92243233796033,-4.911617317155333,191.16297828979228,134.22117426594744,191.87023792395027,363.27404343342835,86991926.71894713,0.0039010676105061207
EGLL,22,1025,1313.4214634146342,1341.9287215076881,-28.507258093054038,-9.427361291921216,289.9262544356318,202.60331190458925,291.1836013900208,563.3886261116565,86907586.96142408,0.003897285476821301
EDDF,13,1973,931.6994424733908,920.3208164138936,11.378626059497336,-14.381916565455754,209.1786089226813,143.31905217832445,209.4349214527092,410.61182171680514,86541672.0170596,0.0038808763801211872
EDDF,14,1748,862.8770022883295,857.8391942320587,5.037808056270706,-15.639410883998323,220.89380830664896,124.33561024141606,220.88807081401126,337.31382998333515,85287611.61923152,0.003824639271873302
EHAM,7,2116,787.0420604914934,793.3906185030002,-6.348558011506843,-14.876528638010825,198.69948246413432,115.85516158124285,198.75394329137177,360.7307950560287,83588623.02470854,0.003748449795140292
EDDF,8,2526,804.3159144893111,804.494798422833,-0.1788839335218749,-18.397887702561775,181.3850411320345,125.62390819551344,181.34922219335056,339.3532036496149,83073927.02547655,0.003725368757995914
LEMD,10,2385,1004.1412997903564,1011.549008049539,-7.407708259182631,-19.045310502000348,185.99485848393405,138.17539376197698,186.10334942088102,352.3731098464846,82603179.14762422,0.0037042585312396167
EDDF,16,1802,815.173140954495,811.9756384132814,3.1975025412135016,-16.647547221149665,213.04269793528974,122.38380058296512,213.00757743692304,310.02515806310555,81760754.93807527,0.0036664808440204895
LEBL,13,1409,952.7047551454932,947.1982699488118,5.506485196681446,-26.290467185880743,240.63754192963816,154.72749002615097,240.61515004322194,487.1977945201671,81574971.456324,0.0036581495660437586
