airport,bin,state
EDDF,5786413,0
EDDF,5786414,0
EDDF,5786415,0
EDDF,5786416,0
EDDF,5786417,0
EDDF,5786418,0
EDDF,5786419,0
EDDF,5786420,0
EDDF,5786421,0
EDDF,5786422,0
EDDF,5786423,0
EDDF,5786424,0
EDDF,5786425,0
EDDF,5786426,0
EDDF,5786427,0
EDDF,5786428,0
EDDF,5786429,0
EDDF,5786430,0
EDDF,5786431,0
EDDF,5786432,0
EDDF,5786433,0
EDDF,5786434,0
EDDF,5786435,0
EDDF,5786436,0
EDDF,5786437,0
EDDF,5786438,0
EDDF,5786439,0
EDDF,5786440,0
EDDF,5786441,0
EDDF,5786442,0
EDDF,5786443,0
EDDF,5786444,0
EDDF,5786445,0
EDDF,5786446,0
EDDF,5786447,0
EDDF,5786448,0
EDDF,5786449,0
EDDF,5786450,0
EDDF,5786451,0
EDDF,5786452,0
EDDF,5786453,0
EDDF,5786454,0
EDDF,5786455,0
EDDF,5786456,0
EDDF,5786457,0
EDDF,5786458,0
EDDF,5786459,0
EDDF,5786460,0
EDDF,5786461,0
EDDF,5786462,0
EDDF,5786463,0
EDDF,5786464,0
EDDF,5786465,0
EDDF,5786466,0
EDDF,5786467,0
EDDF,5786468,0
EDDF,5786469,0
EDDF,5786470,0
EDDF,5786471,0
EDDF,5786472,0
EDDF,5786473,0
EDDF,5786474,0
EDDF,5786475,3
EDDF,5786476,3
EDDF,5786477,3
EDDF,5786478,3
EDDF,5786479,3
EDDF,5786480,3
EDDF,5786481,3
EDDF,5786482,1
EDDF,5786483,1
EDDF,5786484,1
EDDF,5786485,1
EDDF,5786486,1
EDDF,5786487,1
EDDF,5786488,1
EDDF,5786489,1
EDDF,5786490,1
EDDF,5786491,1
EDDF,5786492,1
EDDF,5786493,1
EDDF,5786494,1
EDDF,5786495,1
EDDF,5786496,1
EDDF,5786497,1
EDDF,5786498,1
EDDF,5786499,1
EDDF,5786500,1
EDDF,5786501,1
EDDF,5786502,1
EDDF,5786503,1
EDDF,5786504,1
EDDF,5786505,1
EDDF,5786506,1
EDDF,5786507,1
EDDF,5786508,1
EDDF,5786509,1
EDDF,5786510,1
EDDF,5786511,1
EDDF,5786512,1
EDDF,5786513,1
EDDF,5786514,1
EDDF,5786515,1
EDDF,5786516,1
EDDF,5786517,1
EDDF,5786518,1
EDDF,5786519,1
EDDF,5786520,1
EDDF,5786521,1
EDDF,5786522,1
EDDF,5786523,1
EDDF,5786524,1
EDDF,5786525,1
EDDF,5786526,1
EDDF,5786527,1
EDDF,5786528,1
EDDF,5786529,1
EDDF,5786530,1
EDDF,5786531,1
EDDF,5786532,1
EDDF,5786533,1
EDDF,5786534,1
EDDF,5786535,1
EDDF,5786536,1
EDDF,5786537,1
EDDF,5786538,1
EDDF,5786539,1
EDDF,5786540,1
EDDF,5786541,1
EDDF,5786542,1
EDDF,5786543,1
EDDF,5786544,1
EDDF,5786545,1
EDDF,5786546,1
EDDF,5786547,1
EDDF,5786548,3
EDDF,5786549,3
EDDF,5786550,3
EDDF,5786551,3
EDDF,5786552,3
EDDF,5786553,3
EDDF,5786554,3
EDDF,5786555,3
EDDF,5786556,3
EDDF,5786557,3
EDDF,5786558,3
EDDF,5786559,3
EDDF,5786560,1
EDDF,5786561,1
EDDF,5786562,1
EDDF,5786563,1
EDDF,5786564,1
EDDF,5786565,3
EDDF,5786566,3
EDDF,5786567,3
EDDF,5786568,3
EDDF,5786569,3
EDDF,5786570,3
EDDF,5786571,3
EDDF,5786572,3
EDDF,5786573,3
EDDF,5786574,3
EDDF,5786575,3
EDDF,5786576,3
EDDF,5786577,3
EDDF,5786578,3
EDDF,5786579,3
EDDF,5786580,3
EDDF,5786581,3
EDDF,5786582,3
EDDF,5786583,3
EDDF,5786584,3
EDDF,5786585,2
EDDF,5786586,2
EDDF,5786587,2
EDDF,5786588,2
EDDF,5786589,2
EDDF,5786590,2
EDDF,5786591,2
EDDF,5786592,2
EDDF,5786593,2
EDDF,5786594,2
EDDF,5786595,2
EDDF,5786596,2
EDDF,5786597,2
EDDF,5786598,2
EDDF,5786599,2
EDDF,5786600,2
EDDF,5786601,2
EDDF,5786602,2
EDDF,5786603,2
EDDF,5786604,2
EDDF,5786605,2
EDDF,5786606,2
EDDF,5786607,2
EDDF,5786608,2
EDDF,5786609,2
EDDF,5786610,2
EDDF,5786611,2
EDDF,5786612,2
EDDF,5786613,2
EDDF,5786614,2
EDDF,5786615,2
EDDF,5786616,2
EDDF,5786617,2
EDDF,5786618,2
EDDF,5786619,2
EDDF,5786620,2
EDDF,5786621,2
EDDF,5786622,2
EDDF,5786623,2
EDDF,5786624,2
EDDF,5786625,2
EDDF,5786626,2
EDDF,5786627,2
EDDF,5786628,2
EDDF,5786629,2
EDDF,5786630,2
EDDF,5786631,2
EDDF,5786632,2
EDDF,5786633,2
EDDF,5786634,2
EDDF,5786635,2
EDDF,5786636,2
EDDF,5786637,2
EDDF,5786638,2
EDDF,5786639,2
EDDF,5786640,2
EDDF,5786641,2
EDDF,5786642,2
EDDF,5786643,2
EDDF,5786644,2
EDDF,5786645,2
EDDF,5786646,2
EDDF,5786647,2
EDDF,5786648,2
EDDF,5786649,2
EDDF,5786650,2
EDDF,5786651,2
EDDF,5786652,2
EDDF,5786653,2
EDDF,5786654,2
EDDF,5786655,2
EDDF,5786656,2
EDDF,5786657,2
EDDF,5786658,2
EDDF,5786659,2
EDDF,5786660,2
EDDF,5786661,2
EDDF,5786662,2
EDDF,5786663,2
EDDF,5786664,0
EDDF,5786665,0
EDDF,5786666,0
EDDF,5786667,0
EDDF,5786668,0
EDDF,5786669,0
EDDF,5786670,0
EDDF,5786671,0
EDDF,5786672,0
EDDF,5786673,0
EDDF,5786674,0
EDDF,5786675,0
EDDF,5786676,0
EDDF,5786677,0
EDDF,5786678,0
